kode_kemendagri,kode_bps,nama_wilayah,tingkat_wilayah,parent_kemendagri,parent_bps,latitude,longitude,jumlah_penduduk
32.04,3204,KAB. BANDUNG,2,,0,-7.1,107.611,3831505
32.17,3217,KAB. BANDUNG BARAT,2,,0,-6.897,107.415,1714982
32.16,3216,KAB. BEKASI,2,,0,-6.215,107.12100000000001,3899017
32.01,3201,KAB. BOGOR,2,,0,-6.56,106.76799999999999,6088233
32.07,3207,KAB. CIAMIS,2,,0,-7.291,108.429,1201685
32.03,3203,KAB. CIANJUR,2,,0,-7.1339999999999995,107.15799999999999,2264328
32.09,3209,KAB. CIREBON,2,,0,-6.746,108.551,2209633
32.05,3205,KAB. GARUT,2,,0,-7.36,107.789,2636637
32.12,3212,KAB. INDRAMAYU,2,,0,-6.449,108.169,1737624
32.15,3215,KAB. KARAWANG,2,,0,-6.252000000000001,107.354,2370488
32.08,3208,KAB. KUNINGAN,2,,0,-7.004,108.56,1087105
32.1,3210,KAB. MAJALENGKA,2,,0,-6.816,108.258,1210709
32.18,3218,KAB. PANGANDARAN,2,,0,-7.636,108.51899999999999,401493
32.14,3214,KAB. PURWAKARTA,2,,0,-6.595,107.432,971889
32.13,3213,KAB. SUBANG,2,,0,-6.484,107.73200000000001,1612576
32.02,3202,KAB. SUKABUMI,2,,0,-7.0760000000000005,106.70700000000001,2470219
32.11,3211,KAB. SUMEDANG,2,,0,-6.825,107.98100000000001,1154428
32.06,3206,KAB. TASIKMALAYA,2,,0,-7.497000000000001,108.141,1755710
32.73,3273,KOTA BANDUNG,2,,0,-6.919,107.637,2510103
32.79,3279,KOTA BANJAR,2,,0,-7.376,108.56700000000001,183299
32.75,3275,KOTA BEKASI,2,,0,-6.28,106.976,3075690
32.71,3271,KOTA BOGOR,2,,0,-6.593,106.8,1126927
32.77,3277,KOTA CIMAHI,2,,0,-6.886,107.544,620393
32.74,3274,KOTA CIREBON,2,,0,-6.742000000000001,108.554,322322
32.76,3276,KOTA DEPOK,2,,0,-6.396,106.81700000000001,2484186
32.72,3272,KOTA SUKABUMI,2,,0,-6.94,106.92399999999999,330691
32.78,3278,KOTA TASIKMALAYA,2,,0,-7.36,108.219,663986
